"","CUSIP","year","Intercept","Beta","R2","IdioRisk","CE"
"1","00213T10",2013,0.0493160225269178,0.0562959142788266,0.000885020969238328,1.35333351079677,0.0174668198188868
"2","00213T10",2014,0.088151156866065,0.255929471565021,0.0143862332433666,1.59107536581671,0.0306320742458293
"3","00213T10",2015,0.0874438796313026,0.0286479483936623,0.000298715909818631,1.60606503092774,0.00037249241199877
"4","00213T10",2016,0.0595663430388691,-0.0126207795369399,0.000105159427395371,1.0596434660944,0.000428907131576173
"5","00213T10",2017,0.177629412704532,0.806250942942041,0.0501062151976866,1.69396166940546,0.161246577355178
"6","01446U10",2019,0.0468225474113505,0.179945535396757,0.0169698024875497,0.819339637599662,0.0630172108154157
"7","01446U10",2020,0.0596375200468236,0.581634499748573,0.194307033915532,2.57197315748769,0.175420146032061
"8","01446U10",2021,-0.0347292508387748,1.16785810482409,0.163743247206476,2.33359392045143,0.293538166607172
"9","01446U10",2022,-0.0107284409015958,0.671978910274013,0.319947948136561,1.5640914341597,-0.118494056659322
"10","01446U10",2023,-0.0824204234681868,1.13570004412451,0.177451747152705,2.1076061554938,0.313959741730093
"11","01890A10",2013,0.0828277482883479,0.0607349620070325,0.00106291462700386,1.33215771746875,0.0188569705706356
"12","01890A10",2014,0.0885330378768918,0.138505042834882,0.0030230101863261,1.88920448534717,0.0164632657752823
"13","01890A10",2015,0.15852233040581,0.264385710982744,0.0168783671829219,1.98096058482192,0.000581003117222867
"14","03074A10",2013,-0.0362208805598163,0.469407083910069,0.0383567038071642,1.68163992037097,0.155286388913671
"15","03074A10",2014,0.0246169369498573,0.138136716593383,0.00399943717231787,1.63730693511749,0.0164191289977824
"16","03074A10",2015,0.0211559455518892,0.166078246864549,0.0154298860853341,1.28563701833589,0.00216134029647286
"17","03074A10",2016,0.0621179662581321,0.243520336041098,0.0182322775446075,1.53864940876636,0.0353601415624532
"18","03074A10",2017,0.0518485608414086,0.129335932461005,0.00127349759133788,1.65525553017211,0.0343403109376779
"19","03074A10",2018,-0.0017547561463892,0.132999312908748,0.0146086171357724,1.18971430776724,0.0106769554973409
"20","03074A10",2019,0.00912737556113867,0.11613354496813,0.0118629364048296,0.871650700571758,0.0520807805801253
"21","03074A10",2020,-0.108822681713372,0.577647391607898,0.13560252822471,3.16709736676736,0.174150547120128
"22","03074A10",2021,0.107736904629196,0.0891746046912791,0.00138479671038696,2.11735829239124,0.019856808118853
"23","03074A10",2022,0.028264322283891,0.0756800429450322,0.00884409401610733,1.27908899545855,-0.00156644656068383
"24","03074A10",2023,-0.0747167512032079,0.182314900804171,0.00550337253923732,2.11248984526426,0.0879990135979367
"25","03076K10",2013,0.0706977707188093,1.21798640373407,0.344456355153478,1.20219010650903,0.454081445540629
"26","03076K10",2014,0.049781875593328,0.836663897411478,0.213202689618694,1.20719309579421,0.103650555834433
"27","03076K10",2015,0.121785807419797,0.836135792470149,0.284403457389334,1.28530781535706,0.0109288188475525
"28","03076K10",2016,0.0605694013202772,1.00984409457389,0.292663532879635,1.35177240301204,0.147288856659547
"29","03076K10",2017,-0.0940157384717508,1.8780695259467,0.274082593072448,1.39680624959411,0.461595669839033
"30","03076K10",2018,-0.131721540992651,1.03999877008054,0.400893528956377,1.38472575098953,-0.0388726623378882
"31","03076K10",2019,0.00497098890429321,1.20988589242173,0.38532481762145,1.25668394968261,0.387495336365379
"32","03076K10",2020,-0.0811850874856164,1.41344205412637,0.439362876135457,3.46723280887092,0.472536082857456
"33","03076K10",2021,0.0265129558259912,1.22028277241951,0.252285223028355,1.85750350197391,0.308561971829196
"34","03076K10",2022,0.0701142770048702,0.858398246549156,0.462939834598175,1.47609088297668,-0.15217051200575
"35","03076K10",2023,-0.070519259018241,1.73321194679696,0.353329078987238,2.02110516903548,0.478813048919672
"36","03283P10",2014,0.238737622521291,0.288823529591628,0.0133361151027557,1.89176356635621,0.118717530609106
"37","03283P10",2015,0.100983140960122,0.701960367730226,0.195658029320258,1.37926518297564,0.00916708222173113
"38","03283P10",2016,0.104938398104248,0.662204433863363,0.396160919213201,0.893576496408412,0.0452193526355729
"39","04911A10",2013,0.0784653491430259,0.978437321715133,0.317878577978019,1.02548716284423,0.350922561947497
"40","04911A10",2014,-0.0377065955041452,0.936799157510144,0.291175410970805,1.09781497406922,0.116751945746492
"41","04911A10",2015,0.0364962033150349,0.934043665085575,0.368860092871407,1.18403030195784,0.0122162918080528
"42","04911A10",2016,0.10156648726906,1.10862277673111,0.402124085530807,1.16393789935137,0.162566922091043
"43","04911A10",2017,-0.11292552326592,1.73253710500995,0.259988771572582,1.33581411720782,0.420163125398312
"44","04911A10",2018,-0.0681763887060695,0.778356238184154,0.317192169559899,1.2438267394552,-0.0248327662245744
"45","04911A10",2019,0.0144155357746609,1.13551678454919,0.331542156447997,1.32596938803996,0.361645236848245
"46","04911A10",2020,-0.0738132248295689,1.18650186859644,0.356586752827104,3.46103962158448,0.384752654525526
"47","04911A10",2021,-0.0131622811523668,1.08583196600437,0.215122142631192,1.83386849681891,0.270375188482243
"48","04911A10",2022,0.0592601395843588,0.716076684407408,0.402071688387225,1.39414333439503,-0.126578650060557
"49","04911A10",2023,-0.078806314970534,1.58146965611366,0.281655298137824,2.17697584763105,0.435091647201152
"50","05358K10",2015,0.0986821875440388,0.329108642252887,0.0337715348340479,1.68892993050338,0.00162315806730162
"51","05358K10",2016,0.26145993110055,1.69361390968826,0.200170056011166,3.58926767778181,0.151007219990002
"52","05465C10",2013,0.301550839137628,1.12939169497132,0.119791827668229,2.19038621176227,0.415045443522402
"53","05465C10",2014,-0.0336902045322829,1.24402303156363,0.155423703130625,2.17811025109527,0.157922729151732
